system:index,aoi_asset_id,band_name,buffer_m,data_currency_type,dataset_id,downloaded_at,export_format,export_requested_at_utc,license_or_terms,method_note,native_crs,native_resolution,nodata,output_crs,output_file,output_resolution_m,pixel_type,processing_method,processing_software,product_name,provider,qa_status,region_id,region_name_zh,schema_version,sensor_or_model,sha256,source_asset_id,source_band,source_band_unit,source_dataset_id,source_url,source_version,spatial_scope,static_data_date,temporal_coverage,unit,vertical_datum,.geo,boundary_source,boundary_acquired_at,boundary_source_crs,boundary_processing_crs,boundary_delivery_crs,boundary_wgs84_file,boundary_processing,boundary_source_url,boundary_source_version,boundary_license_status,boundary_attribution,boundary_provenance_ref,technical_qa_status,fixed_checkpoint_qa_status,overall_qa_status,qa_report
0,projects/my-project-260421-494009/assets/nanjing_boundary_wgs84,elevation,5000,static,nanjing_srtmgl1_003_dem,2026-09-10,GeoTIFF (cloud optimized),2026-09-10T07:55:07.960Z,NASA Earthdata data-use policy; attribution is recommended,ee.Terrain.products uses 4-connected neighbors; outer-edge pixels can be masked and are exported as NoData,EPSG:4326,1 arc-second (~30 m),-9999,EPSG:32650,nanjing_srtmgl1_003_30m_epsg32650_dem.tif,30,Int16,SRTM elevation reprojected to EPSG:32650 at 30 m with bilinear resampling; slope and aspect derived with ee.Terrain.products; clipped to Nanjing municipal boundary plus 5 km analysis buffer,Google Earth Engine,dem,NASA / USGS / JPL-Caltech,PASS,nanjing,南京市,fire-patrol-geo-metadata-v1,Shuttle Radar Topography Mission interferometric radar,CCCC17158743A03D5FC528DF5855CA832D567C9F4E0DB7E39BF9722B3DDE8085,USGS/SRTMGL1_003,elevation,m,NASA_SRTMGL1_003,https://developers.google.com/earth-engine/datasets/catalog/USGS_SRTMGL1_003,SRTMGL1 v003,Nanjing municipal boundary plus 5000 m technical analysis buffer,2000-02-11/2000-02-22,2000-02-11/2000-02-22,m,EGM96 geoid,"{""type"":""MultiPoint"",""coordinates"":[]}",天地图,2026-09-10,EPSG:4490 (CGCS2000),EPSG:32650,EPSG:4326,scripts/nanjing_boundary_wgs84.geojson,CGCS2000 source geometry -> WGS84 -> EPSG:32650 outward buffer 5000 m -> EPSG:4326 delivery boundary,https://cloudcenter.tianditu.gov.cn/administrativeDivision,not_provided_by_source,subject_to_tianditu_terms,天地图,metadata/nanjing_boundary_provenance.json,PASS,PASS,PASS,qa/nanjing_srtm_qa_report.md
1,projects/my-project-260421-494009/assets/nanjing_boundary_wgs84,slope,5000,static,nanjing_srtmgl1_003_slope,2026-09-10,GeoTIFF (cloud optimized),2026-09-10T07:55:07.960Z,NASA Earthdata data-use policy; attribution is recommended,ee.Terrain.products uses 4-connected neighbors; outer-edge pixels can be masked and are exported as NoData,EPSG:4326,1 arc-second (~30 m),-9999,EPSG:32650,nanjing_srtmgl1_003_30m_epsg32650_slope.tif,30,Float32,SRTM elevation reprojected to EPSG:32650 at 30 m with bilinear resampling; slope and aspect derived with ee.Terrain.products; clipped to Nanjing municipal boundary plus 5 km analysis buffer,Google Earth Engine,slope,NASA / USGS / JPL-Caltech,PASS,nanjing,南京市,fire-patrol-geo-metadata-v1,Shuttle Radar Topography Mission interferometric radar,E6D56FD2FCAB418A317ABBED424452A2A3C122ACF0720D02F384E7B17D233BFE,USGS/SRTMGL1_003,elevation,m,NASA_SRTMGL1_003,https://developers.google.com/earth-engine/datasets/catalog/USGS_SRTMGL1_003,SRTMGL1 v003,Nanjing municipal boundary plus 5000 m technical analysis buffer,2000-02-11/2000-02-22,2000-02-11/2000-02-22,degree,EGM96 geoid,"{""type"":""MultiPoint"",""coordinates"":[]}",天地图,2026-09-10,EPSG:4490 (CGCS2000),EPSG:32650,EPSG:4326,scripts/nanjing_boundary_wgs84.geojson,CGCS2000 source geometry -> WGS84 -> EPSG:32650 outward buffer 5000 m -> EPSG:4326 delivery boundary,https://cloudcenter.tianditu.gov.cn/administrativeDivision,not_provided_by_source,subject_to_tianditu_terms,天地图,metadata/nanjing_boundary_provenance.json,PASS,PASS,PASS,qa/nanjing_srtm_qa_report.md
2,projects/my-project-260421-494009/assets/nanjing_boundary_wgs84,aspect,5000,static,nanjing_srtmgl1_003_aspect,2026-09-10,GeoTIFF (cloud optimized),2026-09-10T07:55:07.960Z,NASA Earthdata data-use policy; attribution is recommended,ee.Terrain.products uses 4-connected neighbors; outer-edge pixels can be masked and are exported as NoData,EPSG:4326,1 arc-second (~30 m),-9999,EPSG:32650,nanjing_srtmgl1_003_30m_epsg32650_aspect.tif,30,Float32,SRTM elevation reprojected to EPSG:32650 at 30 m with bilinear resampling; slope and aspect derived with ee.Terrain.products; clipped to Nanjing municipal boundary plus 5 km analysis buffer,Google Earth Engine,aspect,NASA / USGS / JPL-Caltech,PASS,nanjing,南京市,fire-patrol-geo-metadata-v1,Shuttle Radar Topography Mission interferometric radar,4440A10840EEEFF6915B5CBE4B6FB8CC2335D22B28CFCB13D3C09FE770478108,USGS/SRTMGL1_003,elevation,m,NASA_SRTMGL1_003,https://developers.google.com/earth-engine/datasets/catalog/USGS_SRTMGL1_003,SRTMGL1 v003,Nanjing municipal boundary plus 5000 m technical analysis buffer,2000-02-11/2000-02-22,2000-02-11/2000-02-22,degree,EGM96 geoid,"{""type"":""MultiPoint"",""coordinates"":[]}",天地图,2026-09-10,EPSG:4490 (CGCS2000),EPSG:32650,EPSG:4326,scripts/nanjing_boundary_wgs84.geojson,CGCS2000 source geometry -> WGS84 -> EPSG:32650 outward buffer 5000 m -> EPSG:4326 delivery boundary,https://cloudcenter.tianditu.gov.cn/administrativeDivision,not_provided_by_source,subject_to_tianditu_terms,天地图,metadata/nanjing_boundary_provenance.json,PASS,PASS,PASS,qa/nanjing_srtm_qa_report.md
