valid_time,temperature_2m_c,relative_humidity_2m_pct,precipitation_previous_hour_mm,wind_speed_10m_m_s,wind_gusts_10m_previous_hour_max_m_s,wind_from_10m_deg,wind_from_10m_compass,wind_to_10m_deg,wind_to_10m_compass,source_type,missing_fields
2026-09-13T19:00,25.6,72,0.0,2.94,5.8,35,NE,215.0,SW,historical_model_or_reanalysis_output,
2026-09-13T20:00,25.4,75,0.0,2.2,5.3,41,NE,221.0,SW,historical_model_or_reanalysis_output,
2026-09-13T21:00,25.1,78,0.0,1.71,3.7,52,NE,232.0,SW,historical_model_or_reanalysis_output,
2026-09-13T22:00,24.7,80,0.0,1.48,2.9,62,NE,242.0,SW,historical_model_or_reanalysis_output,
2026-09-13T23:00,24.2,83,0.0,1.25,2.5,53,NE,233.0,SW,historical_model_or_reanalysis_output,
2026-09-14T00:00,23.8,85,0.0,1.27,2.1,45,NE,225.0,SW,historical_model_or_reanalysis_output,
2026-09-14T01:00,23.5,86,0.0,1.41,2.3,63,NE,243.0,SW,historical_model_or_reanalysis_output,
2026-09-14T02:00,23.7,85,0.0,1.59,2.3,77,E,257.0,W,historical_model_or_reanalysis_output,
2026-09-14T03:00,23.1,86,0.1,2.59,4.4,50,NE,230.0,SW,historical_model_or_reanalysis_output,
2026-09-14T04:00,22.0,93,0.2,3.1,5.7,38,NE,218.0,SW,historical_model_or_reanalysis_output,
2026-09-14T05:00,21.5,93,0.1,2.79,5.9,33,NE,213.0,SW,historical_model_or_reanalysis_output,
2026-09-14T06:00,21.5,95,0.6,1.82,4.8,53,NE,233.0,SW,historical_model_or_reanalysis_output,
2026-09-14T07:00,21.8,93,0.2,1.54,3.6,54,NE,234.0,SW,historical_model_or_reanalysis_output,
2026-09-14T08:00,23.8,88,0.0,1.38,3.4,46,NE,226.0,SW,historical_model_or_reanalysis_output,
2026-09-14T09:00,25.1,78,0.0,1.39,3.8,30,NE,210.0,SW,historical_model_or_reanalysis_output,
2026-09-14T10:00,26.4,68,0.0,2.23,5.2,34,NE,214.0,SW,historical_model_or_reanalysis_output,
2026-09-14T11:00,27.5,58,0.0,2.87,6.6,35,NE,215.0,SW,historical_model_or_reanalysis_output,
2026-09-14T12:00,28.3,54,0.0,2.83,6.9,36,NE,216.0,SW,historical_model_or_reanalysis_output,
2026-09-14T13:00,28.8,51,0.0,2.96,6.9,37,NE,217.0,SW,historical_model_or_reanalysis_output,
2026-09-14T14:00,28.6,50,0.0,3.1,7.0,31,NE,211.0,SW,historical_model_or_reanalysis_output,
2026-09-14T15:00,28.6,50,0.0,2.93,7.0,30,NE,210.0,SW,historical_model_or_reanalysis_output,
2026-09-14T16:00,28.2,51,0.0,3.2,6.6,29,NE,209.0,SW,historical_model_or_reanalysis_output,
2026-09-14T17:00,27.2,55,0.0,3.57,6.9,37,NE,217.0,SW,historical_model_or_reanalysis_output,
2026-09-14T18:00,25.9,60,0.0,3.15,6.8,43,NE,223.0,SW,historical_model_or_reanalysis_output,
2026-09-14T19:00,24.8,66,0.0,3.55,6.1,40,NE,220.0,SW,historical_model_or_reanalysis_output,
2026-09-14T20:00,23.7,76,0.0,3.85,7.4,46,NE,226.0,SW,historical_model_or_reanalysis_output,
2026-09-14T21:00,22.9,80,0.0,3.16,6.9,59,NE,239.0,SW,historical_model_or_reanalysis_output,
2026-09-14T22:00,22.4,83,0.0,2.5,5.7,64,NE,244.0,SW,historical_model_or_reanalysis_output,
2026-09-14T23:00,21.9,85,0.0,2.19,4.4,63,NE,243.0,SW,historical_model_or_reanalysis_output,
2026-09-15T00:00,21.4,88,0.0,2.13,3.8,60,NE,240.0,SW,historical_model_or_reanalysis_output,
2026-09-15T01:00,20.8,91,0.0,2.27,3.9,49,NE,229.0,SW,historical_model_or_reanalysis_output,
2026-09-15T02:00,20.9,90,0.0,2.27,3.9,57,NE,237.0,SW,historical_model_or_reanalysis_output,
2026-09-15T03:00,20.2,90,0.0,1.94,3.9,55,NE,235.0,SW,historical_model_or_reanalysis_output,
2026-09-15T04:00,19.8,89,0.0,1.86,3.3,59,NE,239.0,SW,historical_model_or_reanalysis_output,
2026-09-15T05:00,19.3,89,0.0,1.72,3.1,64,NE,244.0,SW,historical_model_or_reanalysis_output,
2026-09-15T06:00,19.0,89,0.0,1.79,2.9,60,NE,240.0,SW,historical_model_or_reanalysis_output,
2026-09-15T07:00,20.1,84,0.0,1.93,3.7,69,E,249.0,W,historical_model_or_reanalysis_output,
2026-09-15T08:00,22.4,77,0.0,1.62,3.7,68,E,248.0,W,historical_model_or_reanalysis_output,
2026-09-15T09:00,24.3,65,0.0,2.42,5.7,97,E,277.0,W,historical_model_or_reanalysis_output,
2026-09-15T10:00,25.6,54,0.0,2.51,6.1,119,SE,299.0,NW,historical_model_or_reanalysis_output,
2026-09-15T11:00,26.5,48,0.0,2.48,6.1,124,SE,304.0,NW,historical_model_or_reanalysis_output,
2026-09-15T12:00,26.1,51,0.0,2.49,6.2,128,SE,308.0,NW,historical_model_or_reanalysis_output,
2026-09-15T13:00,26.2,51,0.0,1.93,5.7,121,SE,301.0,NW,historical_model_or_reanalysis_output,
2026-09-15T14:00,26.6,50,0.0,1.4,4.6,145,SE,325.0,NW,historical_model_or_reanalysis_output,
2026-09-15T15:00,26.8,49,0.0,1.16,4.0,155,SE,335.0,NW,historical_model_or_reanalysis_output,
2026-09-15T16:00,26.7,50,0.0,1.1,3.5,150,SE,330.0,NW,historical_model_or_reanalysis_output,
2026-09-15T17:00,26.0,56,0.0,1.17,3.0,140,SE,320.0,NW,historical_model_or_reanalysis_output,
2026-09-15T18:00,25.4,64,0.0,0.43,2.1,126,SE,306.0,NW,historical_model_or_reanalysis_output,
2026-09-15T19:00,24.2,65,0.0,0.45,0.6,63,NE,243.0,SW,historical_model_or_reanalysis_output,
2026-09-15T20:00,23.8,70,0.0,0.65,1.4,58,NE,238.0,SW,historical_model_or_reanalysis_output,
2026-09-15T21:00,22.6,74,0.0,1.0,1.3,53,NE,233.0,SW,historical_model_or_reanalysis_output,
2026-09-15T22:00,21.5,79,0.0,1.48,2.1,62,NE,242.0,SW,historical_model_or_reanalysis_output,
2026-09-15T23:00,20.9,80,0.0,1.54,2.2,61,NE,241.0,SW,historical_model_or_reanalysis_output,
