valid_time,temperature_2m_c,relative_humidity_2m_pct,precipitation_previous_hour_mm,wind_speed_10m_m_s,wind_gusts_10m_previous_hour_max_m_s,wind_from_10m_deg,wind_from_10m_compass,wind_to_10m_deg,wind_to_10m_compass,source_type,missing_fields
2026-09-13T00:00,21.7,77,0.0,1.65,2.9,76,E,256.0,W,historical_model_or_reanalysis_output,
2026-09-13T01:00,21.4,79,0.0,1.66,2.7,83,E,263.0,W,historical_model_or_reanalysis_output,
2026-09-13T02:00,21.7,81,0.0,1.63,2.7,72,E,252.0,W,historical_model_or_reanalysis_output,
2026-09-13T03:00,21.0,86,0.0,1.57,2.7,63,NE,243.0,SW,historical_model_or_reanalysis_output,
2026-09-13T04:00,20.8,90,0.0,1.64,2.7,70,E,250.0,W,historical_model_or_reanalysis_output,
2026-09-13T05:00,20.6,92,0.0,1.85,3.2,92,E,272.0,W,historical_model_or_reanalysis_output,
2026-09-13T06:00,20.4,93,0.0,1.46,3.1,82,E,262.0,W,historical_model_or_reanalysis_output,
2026-09-13T07:00,21.7,88,0.0,1.39,3.1,69,E,249.0,W,historical_model_or_reanalysis_output,
2026-09-13T08:00,24.0,82,0.0,1.45,3.6,88,E,268.0,W,historical_model_or_reanalysis_output,
2026-09-13T09:00,25.9,76,0.0,1.77,4.8,115,SE,295.0,NW,historical_model_or_reanalysis_output,
2026-09-13T10:00,27.4,66,0.0,1.32,4.9,119,SE,299.0,NW,historical_model_or_reanalysis_output,
2026-09-13T11:00,28.3,60,0.1,0.86,4.4,97,E,277.0,W,historical_model_or_reanalysis_output,
2026-09-13T12:00,29.1,57,0.0,0.62,3.8,76,E,256.0,W,historical_model_or_reanalysis_output,
2026-09-13T13:00,30.0,53,0.0,0.55,3.6,90,E,270.0,W,historical_model_or_reanalysis_output,
2026-09-13T14:00,30.4,50,0.0,0.2,3.5,360,N,180.0,S,historical_model_or_reanalysis_output,
2026-09-13T15:00,30.6,50,0.1,0.82,3.3,322,NW,142.0,SE,historical_model_or_reanalysis_output,
2026-09-13T16:00,30.0,51,0.2,1.88,4.5,335,NW,155.0,SE,historical_model_or_reanalysis_output,
2026-09-13T17:00,28.6,57,0.2,2.26,4.6,5,N,185.0,S,historical_model_or_reanalysis_output,
2026-09-13T18:00,26.8,66,0.2,3.11,5.4,30,NE,210.0,SW,historical_model_or_reanalysis_output,
