dataset_id,file,source_url,source_version,downloaded_at,license,crs,metric_processing_crs,resolution_or_scale,processing,feature_count,qa_status
nanjing_osm_roads_20260920,roads.geojson,https://download.geofabrik.de/asia/china/jiangsu.html,geofabrik-jiangsu-260920-pbf,2026-09-20,Open Database License 1.0 (ODbL 1.0),EPSG:4326,EPSG:32650,vector; OSM source detail,PBF highway ways split at original consecutive OSM nodes and clipped to Nanjing + 5 km; lengths calculated in EPSG:32650,476701,PASS
nanjing_osm_water_20260920,water_bodies.geojson,https://download.geofabrik.de/asia/china/jiangsu.html,geofabrik-jiangsu-260920-gpkg+pbf-tags,2026-09-20,Open Database License 1.0 (ODbL 1.0),EPSG:4326,not_applicable,vector; OSM source detail,GeoPackage water polygons and waterways clipped to Nanjing + 5 km; names/types recovered from PBF where available,9400,PASS
nanjing_osm_facility_candidates_20260920,facilities.geojson,https://download.geofabrik.de/asia/china/jiangsu.html,geofabrik-jiangsu-260920-gpkg+pbf-tags,2026-09-20,Open Database License 1.0 (ODbL 1.0),EPSG:4326,not_applicable,vector; OSM source detail,Selected public POI/transport classes converted to candidate points; no operational capability inferred,759,PASS
